,Company,Open,High,Low,Close,Volume,0
0,AMD,1.96,1.96,1.85,1.87,7686600,2.475935828877005
1,AMD,1.87,1.94,1.86,1.92,6698400,2.447916666666667
2,AMD,1.92,1.96,1.92,1.95,10184300,2.3282051282051284
3,AMD,1.97,2.06,1.95,1.97,27327100,2.4263959390862944
4,AMD,2.0,2.0,1.89,1.94,21544900,2.4381443298969074
5,AMD,1.91,2.01,1.91,2.01,10670800,2.348258706467662
6,AMD,2.0,2.03,1.97,2.02,5584200,2.3514851485148514
7,AMD,2.02,2.12,2.01,2.1,14944100,2.314285714285714
8,AMD,2.1,2.16,2.09,2.14,8208400,2.046728971962616
9,AMD,2.1,2.21,2.1,2.21,9564200,2.171945701357466
10,AMD,2.21,2.21,2.12,2.15,6313500,2.488372093023256
11,AMD,2.12,2.16,2.1,2.15,5755600,2.390697674418605
12,AMD,2.14,2.2,2.12,2.18,6950600,2.2614678899082565
13,AMD,2.15,2.18,2.11,2.13,4500400,2.3802816901408455
14,AMD,2.14,2.15,2.12,2.12,4897100,2.410377358490566
15,AMD,2.13,2.19,2.11,2.19,5858700,2.2374429223744294
16,AMD,2.16,2.29,2.16,2.28,8705800,1.9649122807017547
17,AMD,2.27,2.3,2.18,2.2,8205300,2.0454545454545454
18,AMD,2.21,2.24,2.17,2.2,4302200,1.9818181818181815
19,AMD,2.19,2.21,2.13,2.15,8997100,2.237209302325582
20,AMD,2.15,2.18,2.1,2.11,6231200,2.317535545023697
21,AMD,2.09,2.1,2.02,2.02,6162200,2.4356435643564356
22,AMD,2.02,2.09,2.02,2.07,3532100,2.0434782608695654
23,AMD,2.05,2.07,2.0,2.0,3576800,2.345
24,AMD,1.99,2.04,1.94,1.99,5920200,2.4120603015075375
25,AMD,1.99,2.02,1.95,1.99,4149700,2.5025125628140703
26,AMD,2.01,2.04,1.97,1.98,5825100,2.8737373737373737
27,AMD,1.99,2.15,1.98,2.12,9384700,2.9905660377358494
28,AMD,2.1,2.16,2.09,2.14,4704300,3.0700934579439254
